id,age,age_group,race,dins,primary_crime,crime_class,min_years,min_months,max_years,max_months,severity,official_crime_type,decision
"41","26","25-29","H","1","CONSPIRACY-4","E","6","10","8","0","B4+B4+C2","PDO","NO"
"42","46","40+","B","1","MURDER-2","A","23","0","99","99","A1C1","VFO","NO"
"43","44","40+","B","1","BURGLARY-3","D","1","0","3","0","D1","PDO","NO"
"44","37","30-39","W","1","ATT BURGLARY-3","E","1","6","3","0","E1","PDO","YES"
"45","61","40+","B","2","ATT MURDER-2","B","17","1","20","0","B1B1D1","VFO","NO"
"46","67","40+","W","1","MANSLTER1>78'","B","5","8","17","0","B1","VFO","NO"
"47","46","40+","B","3","CPCS-3 >79","B","6","0","12","0","D2D1B1","PDO","NO"
"48","25","25-29","W","1","BURGLARY-3","D","2","6","6","0","D1E1B1","PDO","NO"
"49","24","<25","B","1","ATT ASSAULT-1 >96","C","4","5","5","0","C1D1 ","VFO","NO"
"50","28","25-29","B","1","CRIM CONTEMPT-1","E","1","6","3","0","E1  ","PDO","NO"
"51","32","30-39","B","1","MURDER-2","A","15","0","99","99","A1","VFO","NO"
"52","45","40+","W","1","MURDER-2","A","25","0","99","99","A1","VFO","NO"
"53","18","<25","B","1","BURGLARY-3","D","1","4","4","0","D1","PDO","NO"
"54","39","30-39","B","3","ATT CP FORG INST-2","E","1","6","3","0","E1E1 ","PDO","NO"
"55","44","40+","B","2","GRAND LARCENY-3","D","1","4","4","0","D1","PDO","NO"
"56","29","25-29","B","1","CRIM CONTEMPT-1","E","2","0","4","0","E1E1","PDO","NO"
"57","25","25-29","B","1","BURGLARY-3","D","3","0","6","0","D2","PDO","NO"
"58","28","25-29","H","1","POS CHLD SX PER","E","2","0","6","0","E1E1","CVO","NO"
"59","61","40+","B","4","ATT ASSAULT-2","E","1","6","3","0","E1  ","VFO","NO"
"60","36","30-39","W","2","BURGLARY-3","D","2","0","4","0","D1D1 ","PDO","YES"
"61","31","30-39","B","2","CPW-3/NON-VFO","D","2","0","4","0","D1  ","CVO","NO"
"62","22","<25","B","1","ROBBERY-3","D","1","0","3","0","D1","CVO","NO"
"63","58","40+","B","3","GRAND LARCENY-3","D","4","0","8","0","D2D1","PDO","NO"
"64","30","30-39","W","2","BURGLARY-3","D","2","0","4","0","D1  ","PDO","YES"
"65","30","30-39","H","3","CPSP-4","E","1","6","3","0","E1","PDO","NO"
"66","37","30-39","H","4","ASSAULT-2","D","3","5","4","0","D1","VFO","NO"
"67","51","40+","W","3","ATT RAPE-1 >78","C","16","0","99","99","C2","VFO","NO"
"68","55","40+","W","1","DWI 2ND OFF","E","1","0","3","0","E1","PDO","NO"
"69","44","40+","B","5","FORGERY-2","D","3","0","6","0","D1D1","PDO","NO"
"70","34","30-39","H","3","BURGLARY-2","C","10","3","12","0","C1D1D1","VFO","NO"
"71","34","30-39","B","2","FAIL REG:SEX >1","D","1","0","3","0","D1","CVO","NO"
"72","44","40+","W","3","BURGLARY-2","C","6","0","7","0","C1D1E1","VFO","NO"
"73","49","40+","W","2","CPW-3/NON-VFO","D","2","0","4","0","D1","CVO","NO"
"74","58","40+","H","2","CRIM CONTEMPT-1","E","1","6","3","0","E1  ","PDO","NO"
"75","28","25-29","B","2","CPW-2 >78","C","4","3","5","0","C2D1 ","VFO","NO"
"76","47","40+","W","1","CPSP-4","E","2","0","4","0","E1  ","PDO","YES"
"77","31","30-39","B","2","CPSP-4","E","1","6","3","0","E1  ","PDO","NO"
"78","19","<25","B","1","CPW-3/NON-VFO","D","2","0","4","0","D1  ","CVO","YES"
"79","35","30-39","W","1","GRAND LARCENY-3","D","1","4","4","0","D1D1D1","PDO","YES"
"80","41","40+","W","1","ATT CPSP-2","D","2","0","4","0","D1  ","PDO","NO"
"81","62","40+","B","2","CSCS-3 >79","B","6","10","8","0","B1E1 ","PDO","NO"
"82","50","40+","H","3","FORGERY-2","D","2","0","4","0","D1","PDO","NO"
"83","36","30-39","H","2","CRIM CONTEMPT-1","E","3","0","6","0","E2","PDO","NO"
"84","58","40+","W","4","CPSP-4","E","2","0","4","0","E1  ","PDO","NO"
"85","51","40+","B","1","KIDNAPPING-2","B","18","0","36","0","B1B1B2","VFO","NO"
"86","23","<25","W","1","ASSAULT-2","D","1","8","3","0","E1D1 ","VFO","NO"
"87","20","<25","B","1","ROBBERY-2 >78","C","2","11","4","0","C1","VFO","NO"
"88","20","<25","B","1","ROBBERY-3","D","1","0","3","0","D1","CVO","NO"
"89","24","<25","B","1","ATT ASSAULT-2","E","2","0","4","0","E1  ","VFO","NO"
"90","23","<25","W","1","ATT BURGLARY-3","E","1","0","3","0","E1","PDO","YES"
"91","46","40+","B","4","ATT AGGR CRIM CNTPT","E","2","0","4","0","E1","PDO","NO"
"92","52","40+","B","4","ROBBERY-2 >78","C","16","0","99","99","C3","VFO","NO"
"93","28","25-29","B","2","ATT CPCS-3 >79","C","4","3","5","0","C1D1","PDO","NO"
"94","45","40+","W","1","GRAND LARCENY-3","D","1","0","3","0","D1D2D1","PDO","NO"
"95","36","30-39","B","2","INS FRAUD-4 >86","E","1","6","3","0","E1  ","PDO","NO"
"96","51","40+","B","2","CP FORG INST-2","D","2","6","5","0","D1","PDO","NO"
"97","39","30-39","O","2","ATT CPCS-3 >79","C","2","1","3","0","D1C1 ","PDO","YES"
"98","43","40+","W","2","FORGERY-2","D","2","6","5","0","D1","PDO","NO"
"99","40","40+","H","2","ATT ROBBERY-2 >78","D","12","0","99","99","D1D1 ","VFO","YES"
"100","42","40+","B","4","CRIM MISCHIEF-3","E","1","6","3","0","E1  ","PDO","NO"
"101","20","<25","B","1","CPW-2 >78","C","2","11","3","6","C1  ","VFO","NO"
"102","35","30-39","B","2","RAPE-2","D","4","3","5","0","D1E1","CVO","NO"
"103","18","<25","B","1","ATT ROBBERY-1 >78","C","2","11","4","0","C1","VFO","NO"
"104","44","40+","W","3","ROBBERY-3","D","3","0","6","0","D1","CVO","NO"
"105","37","30-39","B","2","IDENT THEFT 2","E","1","6","3","0","E1E1 ","PDO","YES"
"106","25","25-29","W","1","ESCAPE-1","D","7","9","11","6","D1D1D1","PDO","NO"
"107","19","<25","B","1","CPCS-3 >79","B","0","10","1","0","B1","PDO","NO"
"108","50","40+","B","2","BURGLARY-3","D","6","0","7","0","D1D1D1","PDO","NO"
"109","29","25-29","O","1","ATT ASSAULT-2","E","1","4","4","0","E1","VFO","YES"
"110","56","40+","W","2","ATT ROBBERY-3","E","2","0","4","0","E1D1","CVO","NO"
"111","43","40+","H","3","BURGLARY-3","D","2","0","4","0","D1  ","PDO","YES"
"112","34","30-39","H","1","MURDER-2","A","15","0","99","99","A1","VFO","NO"
"113","45","40+","O","3","DWI 3RD/SUBSQNT","D","1","6","4","6","D1E1","PDO","NO"
"114","36","30-39","B","5","ATT BURGLARY-3","E","1","6","3","0","E1  ","PDO","NO"
"115","54","40+","B","1","DWI 2ND OFF","E","1","0","3","0","E1E1 ","PDO","YES"
"116","28","25-29","B","2","ATT ROBBERY-3","E","1","6","3","0","E1","CVO","NO"
"117","24","<25","B","1","ATT ROBBERY-3","E","1","6","3","0","E1  ","CVO","NO"
"118","24","<25","B","1","CPW-2 >78","C","4","3","5","0","C1D1 ","VFO","NO"
"119","51","40+","B","1","AGGRAVATED DWI","E","1","0","3","0","E2D2D2","PDO","NO"
"120","60","40+","B","5","BURGLARY-3","D","2","6","5","0","D1","PDO","NO"
"121","46","40+","B","2","ROBBERY-3","D","2","6","5","0","D1","CVO","NO"
"122","21","<25","B","1","CPW-2 >78","C","2","11","3","6","C1D1 ","VFO","NO"
"123","59","40+","W","2","GRAND LARCENY-3","D","2","0","6","0","D1","PDO","NO"
"124","40","40+","W","1","CRIM CONTEMPT-1","E","1","6","3","0","E1","PDO","NO"
"125","47","40+","W","3","DWI 2ND OFF","E","1","0","3","0","E1","PDO","NO"
"126","39","30-39","B","2","CPCS-3 >79","B","3","5","4","0","B1D1B1","PDO","NO"
"127","22","<25","W","1","GRAND LARCENY-4","E","1","0","3","0","E1","PDO","YES"
"128","25","25-29","W","1","AGGR UNLIC OP 1","E","1","0","4","0","E1  ","PDO","YES"
"129","36","30-39","W","1","CRIM CONTEMPT-1","E","1","0","3","0","E1","PDO","NO"
"130","48","40+","B","3","ASSAULT-2","D","1","6","13","0","D1D1E1","VFO","NO"
"131","46","40+","W","1","POS CHLD SX PER","E","3","6","4","0","E1E1 ","CVO","NO"
"132","18","<25","W","1","ATT ROBBERY-3","E","1","0","3","0","E1  ","CVO","YES"
"133","23","<25","W","1","ATT BURGLARY-2","D","2","6","3","0","D1D1 ","VFO","NO"
"134","74","40+","W","1","MURDER-2","A","30","0","99","99","A1  ","VFO","NO"
"135","48","40+","W","4","GRAND LARCENY-4","E","1","6","3","0","E1  ","PDO","NO"
"136","62","40+","B","1","ROBBERY-1 >78","B","8","6","10","0","B1D1 ","VFO","NO"
"137","22","<25","B","2","ATT ROBBERY-3","E","2","6","3","0","E1D1 ","CVO","NO"
"138","36","30-39","W","1","CPSP-4","E","1","6","3","0","E1  ","PDO","YES"
"139","47","40+","H","1","ATT ROBBERY-3","E","1","1","3","3","E1","CVO","NO"
"140","31","30-39","W","2","ATT ASSAULT-2","E","1","6","3","0","E1","VFO","NO"
"141","22","<25","B","1","COERCION-1","D","1","0","3","0","D1  ","CVO","NO"
"142","38","30-39","B","1","MURDER-2","A","18","0","99","99","A1B1B1","VFO","YES"
"143","58","40+","W","1","DWI 2ND OFF","E","1","3","3","9","E1  ","PDO","YES"
"144","44","40+","W","4","ATT BURGLARY-2","D","12","0","99","99","D2D1E1","VFO","NO"
"145","49","40+","B","4","CRIM CONTEMPT-1","E","1","6","3","0","E1  ","PDO","NO"
"146","24","<25","W","1","MANSLAUGHTER-2","C","5","0","15","0","C1  ","CVO","YES"
"147","51","40+","H","4","BURGLARY-3","D","2","0","4","0","D1  ","PDO","NO"
"148","30","30-39","W","1","BURGLARY-3","D","1","0","3","0","D1","PDO","NO"
"149","20","<25","B","1","ROBBERY-3","D","2","6","5","0","D1E1","CVO","NO"
"150","45","40+","B","2","BURGLARY-3","D","4","3","7","0","D2D1C1","PDO","NO"
"151","19","<25","B","1","BURGLARY-3","D","1","0","3","0","D1","PDO","NO"
"152","43","40+","B","3","ATT CP FORG INST-2","E","1","6","3","0","E1","PDO","NO"
"153","44","40+","W","1","ROBBERY-3","D","2","6","5","0","D1","CVO","NO"
"154","28","25-29","B","2","ATT CPW-2 >78","D","4","3","5","0","D1D1E1","VFO","NO"
"155","32","30-39","B","3","CRIM CONTEMPT-1","E","1","6","3","0","E1  ","PDO","NO"
"156","18","<25","W","1","CRIM MISCHIEF-3","E","1","0","3","0","E1E1 ","PDO","YES"
"157","48","40+","B","2","MURDER-2","A","25","0","99","99","A1C1D1","VFO","NO"
"158","37","30-39","H","5","BURGLARY-3","D","2","0","4","0","D1","PDO","NO"
"159","23","<25","H","1","GRAND LARCENY-4","E","1","4","4","0","E1  ","PDO","NO"
"160","66","40+","H","2","CSCS-3 >79","B","1","8","2","0","B1","PDO","NO"
"161","27","25-29","O","2","ATT CPW-3/NON-VFO","E","1","6","3","0","E1","CVO","NO"
"162","63","40+","B","3","ROBBERY-3","D","3","0","6","0","D1D1","CVO","NO"
"163","29","25-29","W","1","GRAND LARCENY-4","E","1","4","4","0","E1","PDO","NO"
"164","20","<25","B","1","ATT ROBBERY-2 >78","D","3","0","9","0","B1D1D1","VFO","NO"
"165","48","40+","W","1","CRIM CONTEMPT-1","E","1","0","3","0","E1  ","PDO","NO"
"166","64","40+","B","1","MURDER-2","A","20","0","99","99","A1","VFO","NO"
"167","48","40+","W","3","ATT PRISON CONTR-1","E","2","0","4","0","E1","PDO","NO"
"168","38","30-39","W","2","BURGLARY-3","D","2","1","2","6","D1E1","PDO","NO"
"169","34","30-39","H","1","POS CHLD SX PER","E","1","0","3","0","E1","CVO","NO"
"170","37","30-39","B","2","CRIM MISCHIEF-3","E","1","6","3","0","E1","PDO","NO"
"171","53","40+","H","6","CSCS-3 >79","B","2","6","3","0","B1  ","PDO","NO"
"172","39","30-39","H","1","AGG VEH ASSAULT","C","4","0","12","0","C1D2E2","CVO","NO"
"173","49","40+","B","1","CPCS-2","A","4","3","5","0","A1D1 ","PDO","NO"
"174","24","<25","B","1","CPCS-3 >79","B","2","6","6","0","B1B1B1","PDO","NO"
"175","21","<25","O","1","BURGLARY-3","D","1","0","3","0","D1  ","PDO","YES"
"176","51","40+","B","4","BURGLARY-2","C","6","0","7","0","C1","VFO","NO"
"177","41","40+","W","2","CPW-3/NON-VFO","D","2","0","4","0","D1E1","CVO","NO"
"178","38","30-39","H","1","ROBBERY-2 >78","C","10","8","6","0","C1C1E1","VFO","NO"
"179","47","40+","H","1","MURDER-2","A","20","0","99","99","A1B1C1","VFO","NO"
"180","32","30-39","B","2","SOR VIOL 1ST>07","E","1","0","3","0","E1","CVO","NO"
"181","37","30-39","B","2","ATT BURGLARY-3","E","1","6","6","10","E2E1","PDO","NO"
"182","27","25-29","B","2","CRIM CONTEMPT-1","E","2","0","4","0","E1  ","PDO","NO"
"183","44","40+","W","2","FAIL REG:SEX >1","D","1","0","3","0","D1","CVO","NO"
"184","46","40+","W","1","AGGR CRIM CNTPT","D","5","6","11","0","D1E1E1","PDO","NO"
"185","42","40+","B","3","GRAND LARCENY-4","E","1","6","3","0","E1E1 ","PDO","NO"
"186","43","40+","B","2","CPW-2 >78","C","12","10","7","0","C1D1D1","VFO","NO"
"187","50","40+","B","3","ATT ROBBERY-3","E","5","6","11","0","D1E1","CVO","NO"
"188","51","40+","H","1","RECK ENDANG-1","D","2","0","4","0","D1","CVO","NO"
"189","29","25-29","H","2","IDENTITY THEFT1","D","2","0","4","0","D1E1","PDO","NO"
"190","33","30-39","H","1","BURGLARY-1>78","B","6","10","8","0","B3C2C2","VFO","NO"
"191","52","40+","H","4","GRAND LARCENY-4","E","3","6","7","0","E1E1","PDO","NO"
"192","31","30-39","H","3","CONSPIRACY-3","D","6","0","7","0","B1D1 ","PDO","NO"
"193","48","40+","B","1","MURDER-2","A","20","0","99","99","A1A1","VFO","NO"
"194","54","40+","B","2","CPW-3/NON-VFO","D","6","10","8","0","B1D1 ","CVO","NO"
"195","32","30-39","W","2","DWI 2ND OFF","E","1","4","4","0","E1","PDO","NO"
"196","31","30-39","B","1","CRIM SEX ACT 1","B","9","2","10","6","B1D1E1","VFO","NO"
"197","39","30-39","H","3","ASSAULT-2","D","2","6","3","0","D1  ","VFO","NO"
"198","50","40+","H","2","BURGLARY-2","C","15","0","99","99","C1  ","VFO","YES"
"199","20","<25","O","1","BURGLARY-3","D","1","4","4","0","D1","PDO","NO"
"200","20","<25","H","1","ATT CPW-2 >78","D","1","8","4","0","D1  ","VFO","YES"
"201","61","40+","O","1","MURDER-2","A","25","0","99","99","A2B1B1","VFO","YES"
"202","61","40+","W","1","CS RX","C","1","0","3","0","C1E1","PDO","NO"
"203","22","<25","H","1","ASSAULT-2","D","2","1","3","0","D1  ","VFO","NO"
"204","39","30-39","H","2","ASSAULT-2","D","4","0","3","0","D1E1","VFO","NO"
"205","26","25-29","B","1","ASSAULT-2","D","3","5","5","0","D1D1 ","VFO","NO"
"206","29","25-29","W","2","CPSP-4","E","1","6","3","0","E1  ","PDO","NO"
"207","47","40+","B","1","MURDER-2","A","25","0","99","99","A1C1","VFO","NO"
"208","50","40+","W","2","ATT BURGLARY-3","E","1","6","3","0","E1  ","PDO","YES"
"209","51","40+","B","3","ATT BURGLARY-2","D","12","0","99","99","D1","VFO","NO"
"210","38","30-39","O","1","MURDER-2","A","22","0","99","99","A1  ","VFO","YES"
"211","53","40+","W","3","AGG FAMILY OFF","E","1","4","4","0","E1","PDO","NO"
"212","56","40+","O","4","SOR VIOL 1ST>07","E","1","0","3","0","E1","CVO","NO"
"213","37","30-39","W","3","CPCS-4 >79","C","1","8","3","0","E1C1 ","PDO","NO"
"214","25","25-29","B","2","ATT BURGLARY-3","E","1","6","3","0","E1","PDO","NO"
"215","44","40+","B","3","ATT BURGLARY-3","E","1","0","3","0","E1","PDO","NO"
"216","30","30-39","B","1","ATT RAPE-2","E","1","0","3","0","E1","CVO","NO"
"217","19","<25","H","1","CPSP-3","D","1","0","3","0","D1","PDO","NO"
"218","26","25-29","H","2","CPW-3/NON-VFO","D","3","0","6","0","D1","CVO","NO"
"219","38","30-39","W","3","CPSP-4","E","2","0","4","0","E1  ","PDO","NO"
"220","28","25-29","W","2","SOR VIOL 1ST>07","E","1","0","3","0","E1","CVO","NO"
"221","25","25-29","B","1","SOR VIOL 1ST>07","E","1","4","4","0","E1E1","CVO","NO"
"222","56","40+","W","1","POS CHLD SX PER","E","1","0","3","0","E1","CVO","YES"
"223","32","30-39","B","2","CRM USE F/ARM2","C","7","11","9","0","C1E1","VFO","NO"
"224","56","40+","W","2","UNLW SURVL2 2-4","E","5","6","11","0","D1E1","PDO","NO"
"225","37","30-39","B","2","MURDER-2","A","20","0","99","99","A1B1C1","VFO","NO"
"226","33","30-39","B","1","MANSLTER1>78'","B","17","0","34","0","B1C1","VFO","NO"
"227","48","40+","B","2","CPW-3/NON-VFO","D","3","6","7","0","D1","CVO","NO"
"228","44","40+","W","1","MURDER-2","A","25","0","99","99","A1B1","VFO","NO"
"229","22","<25","H","2","BURGLARY-3","D","2","6","5","0","D1","PDO","NO"
"230","51","40+","W","2","BURGLARY-2","C","8","6","10","0","C1C1 ","VFO","NO"
"231","33","30-39","B","1","CRIM MISCHIEF-3","E","4","8","5","6","D1E1","PDO","NO"
"232","55","40+","B","6","BURGLARY-3","D","2","0","4","0","D1","PDO","NO"
"233","31","30-39","W","1","GRD LRCNY AUTO3","D","1","0","3","0","D1D1 ","PDO","YES"
"234","52","40+","H","6","GRD LRCNY AUTO4","E","2","0","4","0","E1E1 ","PDO","NO"
"235","37","30-39","W","1","DWI 2ND OFF","E","1","0","3","0","E1E1","PDO","NO"
"236","31","30-39","H","2","ATT ROBBERY-2 >78","D","1","6","3","6","D1E1","VFO","NO"
"237","45","40+","W","4","UNLAW IMPRIS-1","E","1","6","3","0","E1  ","CVO","NO"
"238","31","30-39","W","1","BURGLARY-3","D","1","0","3","0","D2  ","PDO","YES"
"239","40","40+","W","1","POS CHLD SX PER","E","1","0","3","0","E1E1","CVO","NO"
"240","30","30-39","W","3","GRAND LARCENY-4","E","1","6","3","0","E1","PDO","NO"
"241","34","30-39","W","1","CRIM CONTEMPT-1","E","3","0","7","0","D4+E4+","PDO","NO"
"242","35","30-39","B","2","ASSAULT-2","D","3","5","4","0","D1","VFO","NO"
"243","35","30-39","B","1","BURGLARY-1>78","B","13","3","19","0","B1","VFO","NO"
"244","27","25-29","W","1","CSCS-3 >79","B","3","10","6","0","D2B1","PDO","YES"
"245","25","25-29","B","2","GRAND LARCENY-4","E","1","6","3","0","E1","PDO","NO"
"246","27","25-29","B","1","ATT SEXUAL ABUSE-1","E","2","0","4","0","D1E1","VFO","NO"
"247","61","40+","B","1","MURDER-2","A","32","6","99","99","A1C1","VFO","NO"
"248","21","<25","W","1","MANSLAUGHTER-2","C","2","0","6","0","C1","CVO","NO"
"249","36","30-39","B","2","ROBBERY-2 >78","C","6","0","7","0","C1","VFO","NO"
"250","56","40+","B","6","ROBBERY-3","D","3","0","6","0","D1E1","CVO","NO"
"251","34","30-39","B","2","GRAND LARCENY-4","E","1","6","3","0","E1  ","PDO","NO"
"252","46","40+","W","1","MURDER-2","A","25","0","99","99","A2B1B1","VFO","NO"
"253","26","25-29","W","1","ATT BURGLARY-3","E","1","0","3","0","E1  ","PDO","NO"
"254","50","40+","B","5","CPSP-3","D","2","0","4","0","D1E1 ","PDO","NO"
"255","45","40+","B","4","BURGLARY-3","D","2","0","4","0","D1","PDO","NO"
"256","50","40+","O","1","MURDER-2","A","25","0","99","99","A1D1","VFO","NO"
"257","37","30-39","W","1","GRAND LARCENY-3","D","1","0","3","0","D1E1 ","PDO","YES"
"258","38","30-39","H","2","PERJURY-1","D","2","11","4","0","D1D1","PDO","NO"
"259","24","<25","B","2","ATT ROBBERY-3","E","1","6","3","0","E1E1 ","CVO","NO"
"260","29","25-29","B","2","CPCS-5 >79","D","2","1","2","6","D1  ","PDO","NO"
"261","43","40+","B","3","MURDER-1","A","20","0","99","99","A1","VFO","NO"
"262","39","30-39","W","1","TAMP PHYS EVID","E","1","0","3","0","E1  ","PDO","YES"
"263","43","40+","H","3","BURGLARY-3","D","2","0","4","0","D1  ","PDO","NO"
"264","42","40+","W","3","ATT GRAND LARCENY-2","D","2","0","4","0","D1  ","PDO","YES"
"265","30","30-39","B","1","ROBBERY-3","D","5","1","6","0","D1D1 ","CVO","NO"
"266","36","30-39","W","1","GRAND LARCENY-3","D","2","4","7","0","D3","PDO","NO"
"267","52","40+","B","1","ASSAULT-2","D","2","6","3","0","D1D1 ","VFO","NO"
"268","35","30-39","B","1","CRIM CONTEMPT-1","E","1","6","3","0","E1  ","PDO","NO"
"269","25","25-29","B","1","ATT ROBBERY-1 >78","C","3","5","4","0","C1C1 ","VFO","NO"
"270","43","40+","B","3","BURGLARY-1>78","B","10","3","12","0","B1C2D1","VFO","NO"
"271","39","30-39","B","1","GRAND LARCENY-3","D","2","6","5","0","D1","PDO","YES"
"272","56","40+","H","2","RAPE-1 >78","B","10","8","12","6","B1B1D1","VFO","NO"
"273","35","30-39","H","2","BURGLARY-1>78","B","6","10","8","0","B1  ","VFO","NO"
"274","23","<25","H","1","ROBBERY-1 >78","B","4","8","5","6","B1E1","VFO","NO"
"275","36","30-39","H","1","ROBBERY-2 >78","C","8","6","10","0","C1E1 ","VFO","NO"
"276","44","40+","B","3","ATT STRANGULATION 2","E","1","6","3","0","E1","VFO","NO"
"277","31","30-39","W","1","BURGLARY-2","C","4","3","5","0","C1D1 ","VFO","NO"
"278","37","30-39","H","2","BURGLARY-3","D","2","0","4","0","D1  ","PDO","NO"
"279","34","30-39","W","3","FORGERY-2","D","3","0","6","0","D1","PDO","NO"
"280","39","30-39","W","2","CPW-3/NON-VFO","D","2","0","4","0","D1","CVO","NO"
"281","47","40+","B","3","ATT ROBBERY-2 >78","D","2","11","3","6","D1E1 ","VFO","NO"
"282","45","40+","B","5","CSCS-4 >79","C","2","6","3","0","C1E1 ","PDO","NO"
"283","36","30-39","O","3","GRD LRCNY AUTO4","E","2","0","4","0","E1E1 ","PDO","YES"
"284","37","30-39","W","1","CRIM MISCHIEF-2","D","1","8","3","0","D1D1 ","PDO","NO"
"285","49","40+","W","3","DWI 2ND OFF","E","1","0","3","0","E1","PDO","NO"
"286","26","25-29","B","2","ATT BURGLARY-2","D","4","8","5","6","D1D1","VFO","NO"
"287","39","30-39","H","2","CPW-3/NON-VFO","D","2","6","5","0","D1","CVO","NO"
"288","31","30-39","H","3","CPW-3/NON-VFO","D","2","0","4","0","D1","CVO","NO"
"289","50","40+","W","4","AGGRAV DWI-2 PR","D","2","0","6","0","D1D2E3","PDO","NO"
"290","55","40+","B","3","BURGLARY-3","D","2","0","4","0","D1","PDO","NO"
"291","27","25-29","W","1","GRAND LARCENY-3","D","3","8","4","6","D1D1E1","PDO","NO"
"292","42","40+","W","1","CRIM CONTEMPT-1","E","1","0","3","0","E1  ","PDO","NO"
"293","25","25-29","B","1","ATT CPW-2 >78","D","3","5","4","0","D1D1 ","VFO","NO"
"294","40","40+","B","1","ROBBERY-1 >78","B","20","0","40","0","B1B4+B1","VFO","NO"
"295","47","40+","O","1","MURDER-2","A","25","0","99","99","A1C1D1","VFO","NO"
"296","48","40+","B","4","ROBBERY-3","D","7","0","14","0","D2","CVO","NO"
"297","59","40+","B","2","ATT BURGLARY-3","E","1","6","3","0","E1  ","PDO","NO"
"298","50","40+","B","3","BURGLARY-2","C","15","0","99","99","C1  ","VFO","YES"
"299","62","40+","B","1","DWI 2ND OFF","E","1","4","4","0","E1","PDO","NO"
"300","28","25-29","B","1","CPW-3/NON-VFO","D","1","6","5","0","D1","CVO","NO"
